کانسپت,برند,دسته,آیتم,قیمت (تومان)
کافه,سام کافه,,املت گوجه و اسفناج,515000
کافه,سام کافه,,سمیت پنیرو تخم مرغ,470000
کافه,سام کافه,,املت با سوسیس,570000
کافه,سام کافه,,املت با پنیر و آووکادو,600000
کافه,سام کافه,,پودینگ چیا با گرانولا,425000
کافه,سام کافه,,ترکیش اگز,515000
کافه,سام کافه,,املت گوجه,440000
کافه,سام کافه,,نیمرو سام,530000
کافه,سام کافه,,پروپینات بار,280000
کافه,سام کافه,,کروسان ساده,270000
کافه,سام کافه,,کروسان تخم مرغ,490000
کافه,سام کافه,,کروسان پنیر و خیار,490000
کافه,سام کافه,,کروسان خامه و مربا,490000
کافه,سام کافه,,کروسان بادام,360000
کافه,سام کافه,,وافل,390000
کافه,سام کافه,,شیربرنج,450000
کافه,سام کافه,,شکلات‌بار,280000
کافه,سام کافه,,V60 اتیوپی کنگا,515000
کافه,سام کافه,,آلبالو زنجبیل,450000
کافه,سام کافه,,فراپه لوندر,415000
کافه,سام کافه,,سرد سام,450000
کافه,سام کافه,,کلدبرو کلاسیک,385000
کافه,سام کافه,,کلد برو با شیر,415000
کافه,سام کافه,,فیزی لایم,415000
کافه,سام کافه,,آبمیوه طبیعی  هندوانه,330000
کافه,سام کافه,,نوشیدنی انبه و اسفناج,450000
کافه,سام کافه,,نوشیدنی شیراز,415000
کافه,سام کافه,,توت‌فرنگی بادام‌زمینی,450000
کافه,سام کافه,,نوشیدنی گل گاوزبان,340000
کافه,سام کافه,,خاکشیر آلوئه‌ورا,415000
کافه,سام کافه,,جینجرلایم,415000
کافه,سام کافه,,رد لیموناد,435000
کافه,سام کافه,,زعفران‌لیمو,435000
کافه,سام کافه,,ماچای سام,450000
کافه,سام کافه,,شکلات سرد,385000
کافه,سام کافه,,آب گازدار,170000
کافه,سام کافه,,آب معدنی,40000
کافه,سام کافه,,دمنوش پاییز,340000
کافه,سام کافه,,بیبی چینو,190000
کافه,سام کافه,,چای سام,370000
کافه,سام کافه,,اپل پامکین,370000
کافه,سام کافه,,ماچا لاته توت فرنگی,415000
کافه,سام کافه,,ماسالا,370000
کافه,سام کافه,,دمنوش کاسکارا,370000
کافه,سام کافه,,دمنوش سیب و به,340000
کافه,سام کافه,,چای سیاه,260000
کافه,سام کافه,,گل گاو زبان,340000
کافه,سام کافه,,چای سبز,260000
کافه,سام کافه,,شکلات داغ,385000
کافه,سام کافه,,گلدن میلک,370000
کافه,سام کافه,,کیک جیم,360000
کافه,سام کافه,,کیک سه شیر,460000
کافه,سام کافه,,شکلات بار,280000
کافه,سام کافه,,رول دارچین,360000
کافه,سام کافه,,کرامبل چای با کرم وانیل,460000
کافه,سام کافه,,براونی,440000
کافه,سام کافه,,چیز کیک سن سباستین,460000
کافه,سام کافه,,کوکی قهوه ﭘﻨﯿﺮ,190000
کافه,سام کافه,,کوکی شکلات تلخ,190000
کافه,سام کافه,,کوکی بادام زمینی,215000
کافه,سام کافه,,کوکی جو (رژﯾﻤﯽ),190000
کافه,سام کافه,,سمیت بوقلمون,590000
کافه,سام کافه,,سالاد فیتنس,715000
کافه,سام کافه,,سالاد مرغ و آووکادو,750000
کافه,سام کافه,,لازانیا,780000
کافه,سام کافه,,ساندویچ مرغ پیچ,590000
کافه,سام کافه,,ساندویچ مرغ کاری,680000
کافه,سام کافه,,ساندویچ مرغ پستو,690000
کافه,سام کافه,,ساندویچ سبزیجات,590000
کافه,سام کافه,,روز اسپرسو,1310000
کافه,سام کافه,,روز دمی,1310000
کافه,سام کافه,,بِلند سام,885000
کافه,سام کافه,,شوکا,1100000
کافه,سام کافه,,عصاره قهوه,400000
کافه,سام کافه,,شیشه کوکی فرانسوی,480000
کافه,سام کافه,,شیشه کوکی تادی,570000
کافه,سام کافه,,بیسکوییت سام x مرکزی,1100000
کافه,سام کافه,,گرانول کرنبری,750000
کافه,سام کافه,,پاپ کرن کاراملی,390000
کافه,سام کافه,,چای دودی,499000
کافه,سام کافه,,چای لاهیجان,449000
کافه,سام کافه,,چای کاکائو,699000
کافه,اکلر,پرطرفدارها,اکلر وانیل اکلر وانیل,230000
کافه,اکلر,پرطرفدارها,اکلر کارامل اکلر کارامل,215000
کافه,اکلر,پرطرفدارها,سنت اونوره وانیل کوچک سنت اونوره وانیل کوچک,260000
کافه,اکلر,پرطرفدارها,سنت اونوره کارامل کوچک سنت اونوره کارامل کوچک,240000
کافه,اکلر,پرطرفدارها,سنت اونوره کارامل بزرگ سنت اونوره کارامل بزرگ,1330000
کافه,اکلر,پرطرفدارها,کنله کنله,165000
کافه,اکلر,پرطرفدارها,پن سوییس پن سوییس,320000
کافه,اکلر,پرطرفدارها,کروسان کروسان,155000
کافه,اکلر,پرطرفدارها,گلت سیب کوچک گلت سیب کوچک,260000
کافه,اکلر,پرطرفدارها,گلت سیب بزرگ گلت سیب بزرگ,830000
کافه,اکلر,پرطرفدارها,گلت بادام (د روآ) کوچک گلت بادام (د روآ) کوچک,290000
کافه,اکلر,پرطرفدارها,گلت بادام (د روآ) بزرگ گلت بادام (د روآ) بزرگ,1060000
کافه,اکلر,پرطرفدارها,کیک ترس لچز متوسط کیک ترس لچز متوسط,1100000
کافه,اکلر,پرطرفدارها,کیک پرنسس متوسط کیک پرنسس متوسط,1600000
کافه,اکلر,پرطرفدارها,کیک صبحانه سیب گردو کوچک کیک صبحانه سیب گردو کوچک,220000
کافه,اکلر,ماکارون ها,ماکارون وانیل ماکارون وانیل,120000
کافه,اکلر,ماکارون ها,ماکارون شکلات تلخ ماکارون شکلات تلخ,120000
کافه,اکلر,ماکارون ها,ماکارون شکلات شیری ماکارون شکلات شیری,120000
کافه,اکلر,ماکارون ها,ماکارون نوتلا ماکارون نوتلا,120000
کافه,اکلر,ماکارون ها,ماکارون پسته ماکارون پسته,120000
کافه,اکلر,ماکارون ها,ماکارون  لوندر ماکارون  لوندر,120000
کافه,اکلر,ماکارون ها,ماکارون کارامل نمکی,120000
کافه,اکلر,کلاسیک های فرانسوی,سنت اونوره وانیل بزرگ سنت اونوره وانیل بزرگ,1420000
کافه,اکلر,کلاسیک های فرانسوی,کیک اپرا کوچک کیک اپرا کوچک,395000
کافه,اکلر,کلاسیک های فرانسوی,کروسان بادام کروسان بادام,380000
کافه,اکلر,کلاسیک های فرانسوی,کروسان پنیر گودا و ریحان کروسان پنیر گودا و ریحان,520000
کافه,اکلر,کلاسیک های فرانسوی,مدلن کوچک مدلن کوچک,85000
کافه,اکلر,کلاسیک های فرانسوی,فینانسیه لیمو و بلوبری,115000
کافه,اکلر,کلاسیک های فرانسوی,کوئین امان,160000
کافه,اکلر,تارت ها,تارت سیب توت فرنگی متوسط,2500000
کافه,اکلر,تارت ها,تارت موز و فندق کوچک تارت موز و فندق کوچک,322000
کافه,اکلر,تارت ها,تارت موز و فندق متوسط تارت موز و فندق متوسط,1390000
کافه,اکلر,تارت ها,تارت نارگیل کوچک تارت نارگیل کوچک,300000
کافه,اکلر,کیک ها,کیک ترس لچز بزرگ کیک ترس لچز بزرگ,1800000
کافه,اکلر,کیک ها,کیک پرنسس بزرگ کیک پرنسس بزرگ,2360000
کافه,اکلر,کیک ها,کیک فریزیه توت فرنگی متوسط,1800000
کافه,اکلر,کیک های صبحانه,کیک صبحانه سیب گردو کیک صبحانه سیب گردو,670000
کافه,اکلر,کوکی ها,کوکی شکلات کارامل,150000
کافه,اکلر,کوکی ها,کوکی پسته رژیمی,196000
کافه,اکلر,کوکی ها,کوکی جو شکلات,195000
کافه,اکلر,کوکی ها,بیسكاتی گردو و پرتقال بیسكاتی گردو و پرتقال,80000
کافه,اکلر,کوکی ها,بسته بیسكاتی گردو و پرتقال (6 عدد) بسته بیسكاتی گردو و پرتقال (6 عدد),480000
